Mi_nombre,Nombre_web,Equipo,Probabilidad,Posicion,Precio
Diego Conde,Diego Conde,Villarreal,20%,POR,5617062
Luiz Junior,Luiz Junior,Villarreal,80%,POR,6284379
José Gayà,José Gayà,Valencia,95%,DEF,13339717
Jonny Castro,Jonny Castro,Alavés,80%,DEF,2741063
Andrei Ratiu,Andrei Ratiu,Rayo Vallecano,50%,DEF,14223313
Yuri Berchiche,Yuri Berchiche,Athletic Club,90%,DEF,10367480
Edu Expósito,Edu Expósito,Espanyol,80%,CEN,3526023
Fermín López,Fermín López,Barcelona,50%,CEN,14597007
Rubén García,Rubén García,Osasuna,50%,CEN,11761271
Álex Baena,Álex Baena,Atlético de Madrid,90%,CEN,79668076
Pablo Torre,Pablo Torre,Mallorca,70%,CEN,9643762
Alberto Moleiro,Alberto Moleiro,Villarreal,50%,CEN,19266828
Ferrán Torres,Ferrán Torres,Barcelona,70%,DEL,19116982
Nicolas Pépé,Nicolas Pépé,Villarreal,80%,DEL,12532353
Carlos Vicente,Carlos Vicente,Alavés,95%,DEL,17846040
